Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_seconds,Sector1Time_seconds,Sector2Time_seconds,Sector3Time_seconds,LapStartTime_seconds,PitInTime_seconds,PitOutTime_seconds,Sector1SessionTime_seconds,Sector2SessionTime_seconds,Sector3SessionTime_seconds
0 days 00:59:52.411000,VER,1,0 days 00:01:31.677000,1.0,1.0,,,,0 days 00:00:38.489000,0 days 00:00:32.363000,,0 days 00:59:20.279000,0 days 00:59:52.515000,284.0,293.0,213.0,307.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:58:20.522000,2025-12-07 13:03:27.585,1,1.0,False,,False,False,91.677,,38.489,32.363,3500.522,,,,3560.279,3592.515
0 days 01:01:21.528000,VER,1,0 days 00:01:29.117000,2.0,1.0,,,0 days 00:00:18.085000,0 days 00:00:38.383000,0 days 00:00:32.649000,0 days 01:00:10.571000,0 days 01:00:48.954000,0 days 01:01:21.603000,283.0,294.0,211.0,303.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:59:52.411000,2025-12-07 13:04:59.474,1,1.0,False,,False,True,89.117,18.085,38.383,32.649,3592.411,,,3610.571,3648.954,3681.603
0 days 01:02:51.083000,VER,1,0 days 00:01:29.555000,3.0,1.0,,,0 days 00:00:18.197000,0 days 00:00:38.495000,0 days 00:00:32.863000,0 days 01:01:39.800000,0 days 01:02:18.295000,0 days 01:02:51.158000,281.0,294.0,212.0,304.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 01:01:21.528000,2025-12-07 13:06:28.591,1,1.0,False,,False,True,89.555,18.197,38.495,32.863,3681.528,,,3699.8,3738.295,3771.158
0 days 01:04:20.646000,VER,1,0 days 00:01:29.563000,4.0,1.0,,,0 days 00:00:18.253000,0 days 00:00:38.441000,0 days 00:00:32.869000,0 days 01:03:09.411000,0 days 01:03:47.852000,0 days 01:04:20.721000,,296.0,211.0,306.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 01:02:51.083000,2025-12-07 13:07:58.146,1,1.0,False,,False,True,89.563,18.253,38.441,32.869,3771.083,,,3789.411,3827.852,3860.721
0 days 01:05:50.341000,VER,1,0 days 00:01:29.695000,5.0,1.0,,,0 days 00:00:18.142000,0 days 00:00:38.529000,0 days 00:00:33.024000,0 days 01:04:38.863000,0 days 01:05:17.392000,0 days 01:05:50.416000,283.0,295.0,211.0,305.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 01:04:20.646000,2025-12-07 13:09:27.709,1,1.0,False,,False,True,89.695,18.142,38.529,33.024,3860.646,,,3878.863,3917.392,3950.416
0 days 01:07:20.113000,VER,1,0 days 00:01:29.772000,6.0,1.0,,,0 days 00:00:18.250000,0 days 00:00:38.579000,0 days 00:00:32.943000,0 days 01:06:08.666000,0 days 01:06:47.245000,0 days 01:07:20.188000,,296.0,211.0,306.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 01:05:50.341000,2025-12-07 13:10:57.404,1,1.0,False,,False,True,89.772,18.25,38.579,32.943,3950.341,,,3968.666,4007.245,4040.188
0 days 01:08:49.857000,VER,1,0 days 00:01:29.744000,7.0,1.0,,,0 days 00:00:18.187000,0 days 00:00:38.496000,0 days 00:00:33.061000,0 days 01:07:38.375000,0 days 01:08:16.871000,0 days 01:08:49.932000,,298.0,211.0,308.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 01:07:20.113000,2025-12-07 13:12:27.176,1,1.0,False,,False,True,89.744,18.187,38.496,33.061,4040.113,,,4058.375,4096.871,4129.932
0 days 01:10:19.458000,VER,1,0 days 00:01:29.601000,8.0,1.0,,,0 days 00:00:18.136000,0 days 00:00:38.420000,0 days 00:00:33.045000,0 days 01:09:08.068000,0 days 01:09:46.488000,0 days 01:10:19.533000,284.0,297.0,211.0,306.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 01:08:49.857000,2025-12-07 13:13:56.920,1,1.0,False,,False,True,89.601,18.136,38.42,33.045,4129.857,,,4148.068,4186.488,4219.533
0 days 01:11:48.871000,VER,1,0 days 00:01:29.413000,9.0,1.0,,,0 days 00:00:18.146000,0 days 00:00:38.494000,0 days 00:00:32.773000,0 days 01:10:37.679000,0 days 01:11:16.173000,0 days 01:11:48.946000,283.0,297.0,210.0,306.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 01:10:19.458000,2025-12-07 13:15:26.521,1,1.0,False,,False,True,89.413,18.146,38.494,32.773,4219.458,,,4237.679,4276.173,4308.946
0 days 01:13:18.336000,VER,1,0 days 00:01:29.465000,10.0,1.0,,,0 days 00:00:18.120000,0 days 00:00:38.396000,0 days 00:00:32.949000,0 days 01:12:07.066000,0 days 01:12:45.462000,0 days 01:13:18.411000,284.0,295.0,209.0,307.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 01:11:48.871000,2025-12-07 13:16:55.934,1,1.0,False,,False,True,89.465,18.12,38.396,32.949,4308.871,,,4327.066,4365.462,4398.411
