Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Time_seconds
0 days 00:01:00.108000,27.4,55.0,1016.4,False,34.6,67,3.0,60.108
0 days 00:02:00.124000,27.4,54.0,1016.4,False,34.4,290,2.4,120.124
0 days 00:03:00.131000,27.5,54.0,1016.3,False,34.4,286,1.4,180.131
0 days 00:04:00.144000,27.5,54.0,1016.5,False,34.2,350,2.6,240.144
0 days 00:05:00.164000,27.5,55.0,1016.4,False,34.0,327,3.2,300.164
0 days 00:06:00.167000,27.5,54.0,1016.4,False,34.2,299,2.2,360.167
0 days 00:07:00.182000,27.4,55.0,1016.3,False,34.4,166,1.6,420.182
0 days 00:08:00.202000,27.4,54.0,1016.5,False,34.5,340,0.7,480.202
0 days 00:09:00.207000,27.4,54.0,1016.5,False,34.5,320,1.1,540.207
0 days 00:10:00.222000,27.5,54.0,1016.5,False,34.3,308,2.0,600.222
0 days 00:11:00.221000,27.5,53.0,1016.3,False,34.1,302,1.4,660.221
0 days 00:12:00.223000,27.4,54.0,1016.4,False,34.1,340,1.7,720.223
0 days 00:13:00.224000,27.4,54.0,1016.3,False,34.3,318,2.2,780.224
0 days 00:14:00.222000,27.4,54.0,1016.4,False,34.0,306,2.1,840.222
0 days 00:15:00.223000,27.4,54.0,1016.4,False,33.8,296,2.5,900.223
0 days 00:16:00.235000,27.4,54.0,1016.4,False,34.0,103,2.0,960.235
0 days 00:17:00.236000,27.4,55.0,1016.4,False,34.0,90,1.3,1020.236
0 days 00:18:00.256000,27.4,54.0,1016.4,False,33.8,102,1.4,1080.256
0 days 00:19:00.264000,27.5,55.0,1016.4,False,33.8,304,0.9,1140.264
0 days 00:20:00.263000,27.4,54.0,1016.3,False,33.5,224,1.2,1200.263
0 days 00:21:00.267000,27.4,54.0,1016.4,False,33.1,345,1.2,1260.267
0 days 00:22:00.258000,27.4,54.0,1016.4,False,32.9,89,2.0,1320.258
0 days 00:23:00.266000,27.4,54.0,1016.4,False,32.8,333,0.9,1380.266
0 days 00:24:00.267000,27.4,55.0,1016.4,False,32.8,199,1.5,1440.267
0 days 00:25:00.269000,27.4,55.0,1016.2,False,32.7,348,0.3,1500.269
0 days 00:26:00.268000,27.4,55.0,1016.4,False,32.4,67,1.9,1560.268
0 days 00:27:00.267000,27.3,55.0,1016.4,False,32.0,342,1.0,1620.267
0 days 00:28:00.253000,27.3,55.0,1016.5,False,32.4,86,1.7,1680.253
0 days 00:29:00.267000,27.3,56.0,1016.5,False,32.4,295,2.5,1740.267
0 days 00:30:00.258000,27.3,56.0,1016.5,False,32.4,296,1.5,1800.258
0 days 00:31:00.268000,27.2,56.0,1016.5,False,32.3,170,0.8,1860.268
0 days 00:32:00.288000,27.2,56.0,1016.5,False,32.4,333,0.9,1920.288
0 days 00:33:00.288000,27.3,55.0,1016.5,False,32.4,347,1.1,1980.288
0 days 00:34:00.289000,27.3,55.0,1016.5,False,31.9,125,1.0,2040.289
0 days 00:35:00.306000,27.2,54.0,1016.5,False,31.8,0,1.1,2100.306
0 days 00:36:00.322000,27.2,55.0,1016.5,False,31.8,348,1.3,2160.322
0 days 00:37:00.320000,27.1,56.0,1016.5,False,31.8,299,2.5,2220.32
0 days 00:38:00.320000,27.1,56.0,1016.5,False,31.8,25,1.4,2280.32
0 days 00:39:00.329000,27.1,55.0,1016.5,False,32.0,85,0.8,2340.329
0 days 00:40:00.342000,27.1,55.0,1016.5,False,32.0,101,0.9,2400.342
0 days 00:41:00.342000,27.1,56.0,1016.5,False,32.0,0,1.1,2460.342
0 days 00:42:00.357000,27.1,56.0,1016.5,False,31.8,97,0.8,2520.357
0 days 00:43:00.361000,27.1,55.0,1016.5,False,31.7,101,1.1,2580.361
0 days 00:44:00.382000,27.2,55.0,1016.5,False,31.6,161,0.5,2640.382
0 days 00:45:00.397000,27.2,55.0,1016.5,False,31.4,107,0.6,2700.397
0 days 00:46:00.389000,27.2,56.0,1016.5,False,31.4,62,0.9,2760.389
0 days 00:47:00.384000,27.2,55.0,1016.5,False,31.0,114,1.0,2820.384
0 days 00:48:00.401000,27.1,56.0,1016.4,False,31.0,351,2.3,2880.401
0 days 00:49:00.415000,27.1,56.0,1016.5,False,30.3,336,2.0,2940.415
0 days 00:50:00.400000,27.1,57.0,1016.4,False,30.8,352,1.8,3000.4
0 days 00:51:00.403000,27.1,57.0,1016.4,False,30.3,286,2.4,3060.403
0 days 00:52:00.419000,27.0,58.0,1016.5,False,31.3,326,1.8,3120.419
0 days 00:53:00.427000,27.0,57.0,1016.4,False,31.8,0,1.5,3180.427
0 days 00:54:00.420000,27.0,58.0,1016.4,False,31.8,336,1.1,3240.42
